,titleId,start_year,genres,ordering,title,region,genre_ids,id_x,popularity,release_date_x,vote_average,vote_count,id_y,release_date_y,production_budget,domestic_gross,worldwide_gross
11645,tt3614530,2015.0,"Adventure,Drama,Family",12.0,Jem and the Holograms,US,"[18, 14, 10402]",266639,7.942,2015-10-23,5.4,241,53.0,"Oct 23, 2015","$5,000,000","$2,184,640","$2,368,937"
11646,tt3614530,2015.0,"Adventure,Drama,Family",12.0,Jem and the Holograms,US,"[18, 14, 10402]",266639,7.942,2015-10-23,5.4,241,53.0,"Oct 23, 2015","$5,000,000","$2,184,640","$2,368,937"
11647,tt3615044,2015.0,"Action,Biography,Documentary",1.0,The Great Sasuke,US,[99],321679,0.884,2016-03-05,0.5,1,,,,,
11648,tt3616894,2016.0,Action,2.0,Assassin X,US,[28],407455,1.4,2016-08-02,3.0,3,,,,,
11649,tt3619070,2018.0,"Drama,Horror,Thriller",1.0,Along Came the Devil,US,"[53, 27, 18]",409056,6.52,2018-08-10,4.9,16,,,,,
11650,tt3619102,2015.0,Horror,6.0,Condemned,US,[27],368256,1.555,2015-11-13,3.4,35,,,,,
11651,tt4726844,2015.0,"Drama,Horror,Thriller",3.0,Condemned,US,[27],368256,1.555,2015-11-13,3.4,35,,,,,
11652,tt3620452,2016.0,Horror,1.0,Don't Fuck in the Woods,US,"[35, 27]",359053,2.72,2016-10-25,2.9,26,,,,,
11653,tt3620762,2015.0,"Drama,Horror",1.0,Anguish,US,[27],347944,5.14,2015-12-18,4.7,50,,,,,
11654,tt3621360,2015.0,"Comedy,Documentary,News",3.0,Rolling Papers,US,[99],324300,0.919,2015-03-15,6.0,8,,,,,
11655,tt3621952,2015.0,Documentary,2.0,The Choice Is Ours,US,[99],354776,0.94,2015-03-02,7.0,3,,,,,
11656,tt3622110,2016.0,Horror,17.0,Don't Knock Twice,US,[27],420245,9.642,2017-02-03,5.1,350,,,,,
11657,tt3622592,2015.0,"Comedy,Drama,Mystery",27.0,Paper Towns,US,"[18, 9648, 10749]",286565,11.564,2015-07-24,6.0,3587,68.0,"Jul 24, 2015","$12,000,000","$32,000,304","$85,450,484"
11658,tt3623002,2014.0,"Drama,Romance",1.0,Best Day Ever,US,"[10749, 18]",309019,2.2840000000000003,2014-12-09,4.2,7,,,,,
11659,tt3623726,2015.0,"Comedy,Drama,Music",27.0,Ricki and the Flash,US,"[35, 18, 10402]",275601,8.247,2015-08-07,5.8,473,95.0,"Aug 7, 2015","$18,000,000","$26,839,498","$41,166,033"
11660,tt3625136,2016.0,"Comedy,Drama",3.0,Detours,US,"[35, 18]",365359,0.931,2016-04-20,7.0,2,,,,,
11661,tt3625220,2015.0,Sci-Fi,1.0,Legends from the Sky,US,"[878, 28]",309521,0.6,2015-01-30,0.0,2,,,,,
11662,tt3625352,2014.0,"Comedy,Horror",3.0,Summer of Blood,US,"[27, 35]",265449,2.972,2014-10-17,4.8,21,,,,,
11663,tt3625906,2014.0,"Comedy,Sci-Fi",1.0,Space Trucker Bruce,US,[],292037,0.968,2014-03-01,3.8,4,,,,,
11664,tt3626214,2017.0,"Adventure,Comedy,Horror",2.0,Alien Vs. Zombies,US,"[12, 35, 27]",455739,0.6,2017-05-03,3.0,1,,,,,
11665,tt3626368,2017.0,"Horror,Thriller",2.0,Devil's Night,US,[27],432271,0.6,2015-10-30,8.0,1,,,,,
11666,tt4017558,2015.0,Horror,1.0,Devil's Night,US,[27],432271,0.6,2015-10-30,8.0,1,,,,,
11667,tt3626368,2017.0,"Horror,Thriller",2.0,Devil's Night,US,[27],480803,0.6,2017-10-10,8.0,1,,,,,
11668,tt4017558,2015.0,Horror,1.0,Devil's Night,US,[27],480803,0.6,2017-10-10,8.0,1,,,,,
11669,tt3627572,2014.0,"Adventure,Comedy,Family",4.0,Transylvanian Garlic,US,"[10751, 12, 35]",317723,0.908,2014-10-17,2.5,2,,,,,
11670,tt3627704,2016.0,"Action,Fantasy,Horror",2.0,Phantasm: Ravager,US,"[878, 14, 27]",262848,5.912000000000001,2016-10-07,5.1,59,,,,,
11671,tt3627780,2014.0,"Comedy,Drama",9.0,Wishin' and Hopin',US,"[18, 35]",308919,1.3090000000000002,2014-11-23,3.7,3,,,,,
11672,tt3627854,2015.0,Drama,1.0,Like You Mean It,US,[18],348294,1.621,2015-06-26,5.9,13,,,,,
11673,tt3628356,2018.0,"Horror,Thriller",1.0,Aswang,US,"[27, 53]",552457,1.558,2018-05-09,1.0,1,,,,,
11674,tt3628574,2018.0,Drama,3.0,State Like Sleep,US,[18],340268,6.642,2019-01-04,4.7,8,,,,,
11675,tt3628584,2016.0,"Comedy,Drama",22.0,Barbershop: The Next Cut,US,[35],326423,12.845999999999998,2016-04-15,6.0,248,22.0,"Apr 15, 2016","$20,000,000","$54,030,051","$54,404,202"
11676,tt3628704,2015.0,"Action,Adventure,Comedy",1.0,The Ungovernable Force,US,[],415978,0.6,2015-01-01,4.0,1,,,,,
11677,tt3629024,2014.0,"Horror,Mystery",1.0,Demons,US,[27],479746,1.45,2017-10-06,5.4,16,,,,,
11678,tt6175486,2017.0,Horror,3.0,Demons,US,[27],479746,1.45,2017-10-06,5.4,16,,,,,
11679,tt3629834,2015.0,Crime,2.0,Jamaican Mafia,US,"[80, 28]",315443,1.291,2015-01-02,8.0,2,,,,,
11680,tt3630782,2014.0,Horror,1.0,Arkham Sanitarium: Soul Eater,US,[],294205,0.6,2014-02-07,2.5,2,,,,,
11681,tt3630800,2017.0,"Comedy,Horror",4.0,Another Yeti a Love Story: Life on the Streets,US,"[35, 27]",345149,0.6,2017-02-14,5.3,3,,,,,
11682,tt3630918,2017.0,"Drama,Fantasy,Horror",2.0,Made Me Do It,US,"[18, 14, 27]",456660,0.677,2017-09-29,4.5,2,,,,,
11683,tt3631282,2015.0,"Horror,Thriller",1.0,The Evil Gene,US,"[53, 27]",415044,1.078,2016-09-08,3.5,4,,,,,
11684,tt3634908,2016.0,"Action,Crime,Thriller",1.0,Cardinal Matter,US,"[53, 28, 80]",405418,0.6,2015-07-11,4.0,3,,,,,
11685,tt3635666,2017.0,"Comedy,Drama,Family",1.0,Counting for Thunder,US,"[35, 18, 10751, 10749]",507206,0.633,2015-12-21,5.0,1,,,,,
11686,tt3635788,2016.0,"Comedy,Horror,Thriller",4.0,Halloweed,US,"[27, 35]",419747,3.1630000000000003,2016-10-18,4.1,15,,,,,
11687,tt3636040,2014.0,"Adventure,Animation,Family",1.0,Eggy,US,"[12, 16, 10751]",343264,0.6,2015-02-01,10.0,1,,,,,
11688,tt3636326,2014.0,"Biography,Documentary,Music",5.0,Soul Boys of the Western World,US,"[99, 10402]",253333,1.53,2015-04-29,5.3,6,,,,,
11689,tt3638396,2015.0,"Drama,Fantasy,Mystery",3.0,Closet Monster,US,[18],353728,6.5470000000000015,2016-09-23,7.2,163,,,,,
11690,tt3638396,2015.0,"Drama,Fantasy,Mystery",3.0,Closet Monster,US,[18],353728,6.5470000000000015,2016-09-23,7.2,163,,,,,
11691,tt3638686,2014.0,Documentary,1.0,Famous Nathan,US,[],319964,0.84,2015-07-17,5.3,3,,,,,
11692,tt3640424,2016.0,"Action,Drama,Romance",2.0,Allied,US,"[28, 18, 10752, 10749, 53]",369885,19.611,2016-11-23,6.7,2765,47.0,"Nov 23, 2016","$106,000,000","$40,098,064","$119,266,661"
11693,tt3640424,2016.0,"Action,Drama,Romance",2.0,Allied,US,"[28, 18, 10752, 10749, 53]",369885,19.611,2016-11-23,6.7,2765,47.0,"Nov 23, 2016","$106,000,000","$40,098,064","$119,266,661"
11694,tt3640682,2015.0,Drama,4.0,I Smile Back,US,[18],307946,5.934,2015-10-23,6.1,67,,,,,
11695,tt3640682,2015.0,Drama,4.0,I Smile Back,US,[18],307946,5.934,2015-10-23,6.1,67,,,,,
11696,tt3643544,2018.0,"Drama,Sport,Thriller",1.0,Glass Jaw,US,"[18, 53]",553884,2.49,2018-10-26,10.0,1,,,,,
11697,tt3644258,2016.0,"Comedy,Crime,Drama",1.0,Stevie D,US,"[80, 18, 35]",430197,0.693,2016-02-25,5.3,3,,,,,
11698,tt3645982,2014.0,Documentary,3.0,The Newburgh Sting,US,[99],261038,0.6,2014-04-20,7.8,5,,,,,
11699,tt3646322,2015.0,Comedy,1.0,Angel's Bounty,US,[35],403724,0.6,2015-09-01,2.5,2,,,,,
11700,tt3647498,2016.0,"Action,Crime,Drama",24.0,Blood Father,US,"[28, 53, 18]",309886,11.371,2016-08-12,6.1,833,,,,,
11701,tt3647784,2017.0,"Action,Adventure,Sci-Fi",4.0,Juarez 2045,US,"[28, 878, 12]",458478,1.005,2017-04-01,4.0,3,,,,,
11702,tt3648510,2014.0,"Documentary,History,Sci-Fi",4.0,Plastic Galaxy: The Story of Star Wars Toys,US,[99],253150,1.198,2014-01-14,6.6,16,,,,,
11703,tt3651804,2015.0,"Comedy,Drama",3.0,Divine Access,US,"[18, 35]",356900,0.69,2015-04-11,5.7,3,,,,,
11704,tt3652098,2014.0,Horror,3.0,Bikini Swamp Girl Massacre,US,"[35, 27]",345883,0.6,2014-04-29,2.0,3,,,,,
11705,tt3652142,2017.0,"Action,Comedy",3.0,Espionage Tonight,US,"[28, 35]",463016,1.086,2017-10-24,4.6,5,,,,,
11706,tt3652620,2011.0,Talk-Show,1.0,Recall,US,"[80, 18, 53]",533741,2.407,2018-07-03,7.0,2,,,,,
11707,tt3652862,2016.0,"Comedy,Drama,Romance",12.0,Morris from America,US,"[18, 10749]",352890,3.869,2016-08-19,6.0,57,,,,,
11708,tt3652978,2017.0,Crime,3.0,Scramble,US,"[28, 35, 80]",494682,1.565,2017-12-26,4.1,7,,,,,
11709,tt3654026,2015.0,"Biography,Documentary,History",1.0,Gaming in Color,US,[99],266241,0.6,2014-04-23,5.3,6,,,,,
11710,tt3654796,2017.0,"Horror,Thriller",3.0,Creep 2,US,"[27, 53]",396493,11.273,2017-10-24,6.4,282,,,,,
11711,tt3654964,2014.0,Documentary,4.0,Art and Craft,US,[99],265929,1.032,2014-09-19,7.2,11,,,,,
11712,tt3654972,2014.0,"Comedy,Drama,Family",5.0,Merry Ex-Mas,US,"[35, 18, 10751]",312167,1.401,2014-12-05,1.7,5,,,,,
11713,tt3657200,2015.0,Drama,2.0,Peter and John,US,[18],415263,1.136,2015-06-01,1.0,1,,,,,
11714,tt3657420,2014.0,"Biography,Documentary",3.0,21 Years: Richard Linklater,US,[99],290304,1.889,2014-11-07,6.6,14,,,,,
11715,tt3658772,2016.0,"Crime,Drama,Mystery",15.0,Misconduct,US,"[18, 53, 9648]",373314,7.298999999999999,2016-02-05,5.5,301,15.0,"Feb 5, 2016","$11,000,000",$0,"$2,352,511"
